latitude,longitude,name
45.7579008,11.0018179,Ala
46.144906,11.193479,Albiano
45.9767795,11.0908573,Aldeno
46.1661363,11.003402,Andalo
45.9180142,10.8861395,Arco
45.733793,10.937181,Avio
46.1331207,11.2459281,Baselga di Pine'
46.165508,11.299882,Bedollo
45.9419216,11.1095435,Besenello
46.0804357,11.5542355,Bieno
46.0069424,10.7896444,Bleggio Superiore
46.1191034,10.7588619,Bocenago
45.8062305,10.5515367,Bondone
46.053192,11.4561278,Borgo Valsugana
45.8187739,10.9560131,Brentonico
46.4118101,10.9706855,Bresimo
46.4309755,11.1082429,Brez
46.130202,10.75747,Caderzone Terme
46.394311,11.041171,Cagno'
46.004241,11.242883,Calceranica al Lago
46.365389,10.9425799,Caldes
45.9915227,11.2621326,Caldonazzo
45.9338514,11.0937583,Calliano
46.4761678,11.7415253,Campitello di Fassa-Ciampedel
46.2578266,11.0331998,Campodenno
46.1565693,11.7299961781713,Canal San Bovo
46.4743643,11.7747887,Canazei-Cianacei
46.2619126,11.3385837,Capriana
46.2917611,11.4396907,Carano
46.1687756,10.7591591,Carisolo
46.0703249,11.4933434,Carzano
45.914395,10.60277,Castel Condino
46.455713,11.116772,Castelfondo
46.2560555,11.4044389,Castello-Molina di Fiemme
46.0641754,11.6321708,Castello Tesino
46.0528587,11.4932817,Castelnuovo
46.291187,11.4604681,Cavalese
46.408412,11.138073,Cavareno
46.1852103,11.0314805,Cavedago
45.9952,10.973577,Cavedine
46.3675013,10.957923,Cavizzana
45.978766,11.0697807,Cimone
46.0568247,11.6147665,Cinte Tesino
46.399187,11.0029605,Cis
46.089367,11.180026,Civezzano
46.3652616,11.0332447,Cles
46.418912,11.086872,Cloz
46.3128732,10.8327251,Commezzadura
46.3443638,10.9046243,Croviana
46.3009636,11.4474653,Daiano
46.404712,11.093072,Dambel
46.275008,11.049074,Denno
45.969299,10.944477,Drena
45.961318,10.9108905,Dro
46.1922976,11.1618628,Faedo
46.1793313,11.0689304,Fai della Paganella
46.0045798,10.8420518,Fiave'
46.1111194,11.3184352,Fierozzo-Vlarötz
45.9149727,11.173015,Folgaria
46.4400263,11.1365613,Fondo
46.1181956,11.2065014,Fornace
46.0884823,11.296537,Frassilongo-Garait
46.0026491,11.0870545,Garniga Terme
46.18582405,11.1468143374073,Giovo
46.1484401,10.7694794,Giustino
46.0170354,11.6359415,Grigno
46.1510601,11.7963031,Imer
45.8852695,11.0093106,Isera
45.9445551,11.2880019,Lavarone
46.1397416,11.1102267,Lavis
46.0099722,11.2988278,Levico Terme
46.404711,11.019271,Livo
46.1554053,11.2254202,Lona-Lases
45.9216649,11.3242901,Luserna-Lusérn
46.3516068,10.9128757,Male'
46.4365287,11.143523,Malosco
46.1417556,10.773134,Massimeno
46.4576678,11.7001823,Mazzin-Mazin
46.3173162,10.8010074,Mezzana
46.154712,11.807993,Mezzano
46.2154357,11.1207858,Mezzocorona
46.2120936,11.0935086,Mezzolombardo
46.3768554,11.6591816,Moena-Moena
46.1421057,10.9637773,Molveno
45.8524443,10.9782754,Mori
45.8511589,10.8850788,Nago-Torbole
46.166355,11.1072621,Nave San Rocco
45.9120887,11.0230464,Nogaredo
45.928599,11.071881,Nomi
46.0228177,11.3664341,Novaledo
46.0435948,11.5525092,Ospedaletto
46.3064533,10.7377007,Ossana
46.1297953,11.3522176,Palù del Fersina-Palai en Bersntol
46.2856525,11.5425874,Panchia'
45.889597,10.950079,Ronzo-Chienis
46.3628864,10.6732435,Peio
46.3097017,10.7596278,Pellizzano
46.0885,10.72387,Pelugo
46.0603525,11.2405019,Pergine Valsugana
46.0693085,11.608091,Pieve Tesino
46.1617322,10.7650043,Pinzolo
45.928099,11.04308,Pomarolo
46.4302623,11.6867947,Pozza di Fassa-Poza
46.3123614,11.6026938,Predazzo
46.400843,10.8449395,Rabbi
46.391811,11.059672,Revo'
45.8847708,10.8396942,Riva del Garda
46.397211,11.066172,Romallo
46.3939973,11.1202732,Romeno
46.0516232,11.4103025,Roncegno Terme
46.068406,11.435186,Ronchi Valsugana
46.423073,11.1488994,Ronzone
46.2499881,11.1693479,Rovere' della Luna
45.886548,11.0452369,Rovereto
46.42463,11.1941,Ruffre'-Mendola
46.4610571,10.9882457,Rumo
46.1913955,11.9335607,Sagron Mis
46.081607,11.522588,Samone
46.1960479,11.1259269,San Michele all'Adige
46.1081377,11.3027058,Sant'Orsola Terme
46.3792333,11.0715113,Sanzeno
46.4187281,11.1407924,Sarnonico
46.0644655,11.5059309,Scurelle
46.1926368,11.2818727,Segonzano
46.3371552,11.1157568,Sfruz
46.3946069,11.6661676,Soraga di Fassa-Soraga
46.221709,11.315681,Sover
46.103601,10.73937,Spiazzo
46.2177519,11.0482682,Spormaggiore
46.236807,11.030274,Sporminore
46.0517279,10.8544911,Stenico
45.8490749,10.5799139,Storo
46.119912,10.7514518,Strembo
46.0713276,11.4795917,Telve
46.071352,11.4716722,Telve di Sopra
46.015703,11.264283,Tenna
45.918797,10.832775,Tenno
45.8652491,11.1774221,Terragnolo
46.3616048,10.9260882,Terzolas
46.290416,11.511977,Tesero
46.0363045,10.7269092,Tione di Trento
46.2591565,11.1016547,Ton
46.074307,11.449787,Torcegno
45.8348451,11.1392114,Trambileno
46.0664228,11.1257601,Trento
46.2468833,11.3486732,Valfloriana
45.8033548,11.1051097,Vallarsa
46.3035045,11.4565952,Varena
46.296905,10.691365,Vermiglio
46.0552202,11.2816366,Vignola-Falesina
46.4204045,11.6726135,Vigo di Fassa-Vich
45.9149896,11.0330024,Villa Lagarina
45.9171787,11.0608033,Volano
46.1520425,11.0962106,Zambana
46.2865173,11.5659762,Ziano di Fiemme
46.0201565,10.8876036,Comano Terme
45.8864143,10.7153848,Ledro
46.2773399,11.4143844,Predaia
46.1121294,10.9000784,San Lorenzo Dorsino
46.0249131,10.5251304,Valdaone
46.3021925,10.8869078,Dimaro Folgarida
45.9451999,10.673201,Pieve di Bono-Prezzo
46.2166529,11.2529504,Altavalle
45.9845328,11.1997542,Altopiano della Vigolana
46.3850244,11.1721592,Amblar-Don
45.8923623,10.5619745,Borgo Chiese
46.0049157,10.7326926,Borgo Lares
46.0630586,11.5418246,Castel Ivano
46.180668,11.2007761,Cembra Lisignago
46.295114,11.0189134,Contà
46.0328837,11.0034845,Madruzzo
46.0732373,10.6730978,Porte di Rendena
46.243723,11.8360278,Primiero San Martino di Castrozza
46.022676,10.6337041,Sella Giudicarie
46.0743238,10.7710996,Tre Ville
46.1110903,11.0114971,Vallelaghi
46.2635842,10.9315452,Ville d'Anaunia
46.27312155,11.559090543655,Comunità territoriale della Val di Fiemme
46.22725935,11.7628247562865,Comunità di Primiero
46.09777065,11.5412961461688,Comunità Valsugana e Tesino
46.0713467,11.2674673461549,Comunità Alta Valsugana e Bersntol
46.19375115,11.2468905937113,Comunità della Valle di Cembra
46.3600076,11.0830587762107,Comunità della Val di Non
46.3514912,10.7439929691176,Comunità della Valle di Sole
46.03019705,10.7063618223204,Comunità delle Giudicarie
45.92028225,10.8137676437849,Comunità Alto Garda e Ledro
45.82894295,11.0535333036577,Comunità della Vallagarina
46.42076665,11.7293083988553,Comun General de Fascia
45.9070175,11.1906315877226,Magnifica Comunità degli Altipiani cimbri
46.2042369,11.1283465315958,Comunità Rotaliana-Königsberg
46.17410175,10.9688760121632,Comunità della Paganella
46.0664228,11.1257601,Territorio Val d'Adige
46.04750835,10.9822227419534,Comunità della Valle dei Laghi
46.0613405,11.1158138,Provincia di Trento
